flow_id,iat,packet_length,direction,icmp_type
253,0.004951953887939453,110,1,0
254,0.0,110,0,8
254,0.0050203800201416016,110,1,0
255,0.0,110,0,8
255,0.004811286926269531,110,1,0
256,0.0,110,0,8
256,0.004770517349243164,110,1,0
257,0.0,110,0,8
257,0.004884004592895508,110,1,0
258,0.0,110,0,8
258,0.004747629165649414,110,1,0
259,0.0,110,0,8
259,0.004899501800537109,110,1,0
260,0.0,110,0,8
260,0.004746913909912109,110,1,0
261,0.0,110,0,8
261,0.004877805709838867,110,1,0
262,0.0,110,0,8
262,0.004826545715332031,110,1,0
263,0.0,110,0,8
263,0.004824161529541016,110,1,0
264,0.0,110,0,8
